cost,7860360,inception,9077114,7550884,sorted,8578901,7550883,7876057,8578900,segment,showPopup,changePercent,7872516,changeValue,value,lastDate
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
84969.1417032301,,"Apr 15, 2019",,,,,,,,multiple,brokerageTrader,-0.061562840325021725,,-5230.941703230099,79738.2,Fri Mar 11 close
